============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.15-s080_1
  Generated on:           Feb 28 2025  12:55:24 am
  Module:                 picorv32
  Technology libraries:   slow_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                  
    Gate     Instances    Area        Library    
OR2X1              218    298.224    slow_vdd1v0 
OR2X2                2      3.420    slow_vdd1v0 
OR2X4                6     16.416    slow_vdd1v0 
OR2X6                7     26.334    slow_vdd1v0 
OR2X8                1      4.446    slow_vdd1v0 
OR3X1               28     57.456    slow_vdd1v0 
OR4X1              108    221.616    slow_vdd1v0 
SEDFFHQX1            1     11.286    slow_vdd1v0 
TLATNTSCAX2         58    376.884    slow_vdd1v0 
XNOR2X1            783   1874.502    slow_vdd1v0 
XOR2X1               1      2.736    slow_vdd1v0 
-------------------------------------------------
total            10053  30257.082                


                                                        
            Type             Instances    Area   Area % 
--------------------------------------------------------
sequential                        1961 11111.922   36.7 
inverter                           435   372.096    1.2 
buffer                             311  2080.386    6.9 
clock_gating_integrated_cell        58   376.884    1.2 
logic                             7288 16315.794   53.9 
physical_cells                       0     0.000    0.0 
--------------------------------------------------------
total                            10053 30257.082  100.0 

