============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.15-s080_1
  Generated on:           Feb 23 2025  03:29:34 am
  Module:                 picorv32
  Technology libraries:   slow_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                 
   Gate     Instances    Area        Library    
------------------------------------------------
ACHCONX2            5     63.270    slow_vdd1v0 
ADDFHX1           191   1437.084    slow_vdd1v0 
ADDFHX2            47    385.776    slow_vdd1v0 
ADDFHXL            13     97.812    slow_vdd1v0 
ADDFX1            140    718.200    slow_vdd1v0 
ADDHX1            113    425.106    slow_vdd1v0 
ADDHX4              3     21.546    slow_vdd1v0 
AND2X1            362    495.216    slow_vdd1v0 
AND2X2             14     23.940    slow_vdd1v0 
AND2X4             22     60.192    slow_vdd1v0 
AND2X6             61    229.482    slow_vdd1v0 
AND2X8             11     48.906    slow_vdd1v0 
AND3X1              2      4.788    slow_vdd1v0 
AND3X2              3      8.208    slow_vdd1v0 
AND3X4              3      9.234    slow_vdd1v0 
AND3XL             13     26.676    slow_vdd1v0 
AND4X1              2      4.788    slow_vdd1v0 
AND4X4              2      7.524    slow_vdd1v0 
AND4XL              6     14.364    slow_vdd1v0 
AO21X1             54    129.276    slow_vdd1v0 
AO21X2              2      5.472    slow_vdd1v0 
AO21X4             61    208.620    slow_vdd1v0 
AO22X1            448   1225.728    slow_vdd1v0 
AO22X2              2      6.156    slow_vdd1v0 
AO22X4             13     48.906    slow_vdd1v0 
AOI211X1            5     11.970    slow_vdd1v0 
AOI211X2            2      6.840    slow_vdd1v0 
AOI211X4            1      6.498    slow_vdd1v0 
AOI211XL            1      2.052    slow_vdd1v0 
AOI21X1           118    201.780    slow_vdd1v0 
AOI21X2            58    158.688    slow_vdd1v0 
AOI21X4            63    323.190    slow_vdd1v0 
AOI21XL             3      5.130    slow_vdd1v0 
AOI221X1          216    517.104    slow_vdd1v0 
AOI221X2           76    337.896    slow_vdd1v0 
AOI221X4            9     70.794    slow_vdd1v0 
AOI222X1          180    554.040    slow_vdd1v0 
AOI222X2           28    153.216    slow_vdd1v0 
AOI222X4            1      9.576    slow_vdd1v0 
AOI222XL            2      6.840    slow_vdd1v0 
AOI22X1           611   1253.772    slow_vdd1v0 
AOI22X2           125    470.250    slow_vdd1v0 
AOI22X4            49    301.644    slow_vdd1v0 
AOI22XL             5     10.260    slow_vdd1v0 
AOI2BB1X1          53    108.756    slow_vdd1v0 
AOI2BB1X2          57    175.446    slow_vdd1v0 
AOI2BB1X4          81    332.424    slow_vdd1v0 
AOI2BB2X2           6     30.780    slow_vdd1v0 
AOI2BB2X4          10     75.240    slow_vdd1v0 
AOI31X1            24     49.248    slow_vdd1v0 
AOI31X2             6     20.520    slow_vdd1v0 
AOI31X4             1      6.498    slow_vdd1v0 
AOI32X1             2      4.788    slow_vdd1v0 
AOI32X2             4     17.784    slow_vdd1v0 
AOI32XL             8     21.888    slow_vdd1v0 
BUFX12             14     71.820    slow_vdd1v0 
BUFX16             10     68.400    slow_vdd1v0 
BUFX2             157    268.470    slow_vdd1v0 
BUFX20             18    147.744    slow_vdd1v0 
BUFX3              65    133.380    slow_vdd1v0 
BUFX4               3      7.182    slow_vdd1v0 
BUFX6             120    369.360    slow_vdd1v0 
BUFX8              16     60.192    slow_vdd1v0 
CLKAND2X12         22    165.528    slow_vdd1v0 
CLKAND2X2          60    123.120    slow_vdd1v0 
CLKAND2X3          34    104.652    slow_vdd1v0 
CLKAND2X4           1      3.420    slow_vdd1v0 
CLKAND2X6          64    306.432    slow_vdd1v0 
CLKAND2X8           1      5.814    slow_vdd1v0 
CLKBUFX12           8     41.040    slow_vdd1v0 
CLKBUFX16          11     75.240    slow_vdd1v0 
CLKBUFX2           11     18.810    slow_vdd1v0 
CLKBUFX20         227   1863.216    slow_vdd1v0 
CLKBUFX3            6     12.312    slow_vdd1v0 
CLKBUFX4            2      4.788    slow_vdd1v0 
CLKBUFX6            7     21.546    slow_vdd1v0 
CLKINVX1            2      2.052    slow_vdd1v0 
CLKINVX12         128    525.312    slow_vdd1v0 
CLKINVX16          43    235.296    slow_vdd1v0 
CLKINVX2            5      6.840    slow_vdd1v0 
CLKINVX20           4     25.992    slow_vdd1v0 
CLKINVX3            6     10.260    slow_vdd1v0 
CLKINVX4          135    230.850    slow_vdd1v0 
CLKINVX6           96    229.824    slow_vdd1v0 
CLKINVX8           73    224.694    slow_vdd1v0 
CLKMX2X2            1      3.078    slow_vdd1v0 
CLKMX2X3           19     77.976    slow_vdd1v0 
CLKMX2X4            1      4.104    slow_vdd1v0 
CLKXOR2X1         127    347.472    slow_vdd1v0 
CLKXOR2X2           3     10.260    slow_vdd1v0 
DFFHQX1           566   3097.152    slow_vdd1v0 
DFFHQX2             3     20.520    slow_vdd1v0 
DFFHQX4            13    106.704    slow_vdd1v0 
DFFHQX8             4     36.936    slow_vdd1v0 
DFFQX2              7     45.486    slow_vdd1v0 
DFFQX4              1      7.182    slow_vdd1v0 
DFFQXL              2     10.944    slow_vdd1v0 
DFFRX2              1      7.524    slow_vdd1v0 
DFFTRX2            16    131.328    slow_vdd1v0 
DFFTRX4             1     10.944    slow_vdd1v0 
DFFTRXL            48    377.568    slow_vdd1v0 
DFFX1              40    287.280    slow_vdd1v0 
DFFX2              26    213.408    slow_vdd1v0 
DFFX4              14    129.276    slow_vdd1v0 
DFFXL              13     97.812    slow_vdd1v0 
EDFFHQX1         1086   9285.300    slow_vdd1v0 
EDFFHQX2            1      8.892    slow_vdd1v0 
EDFFX1              1      9.576    slow_vdd1v0 
