============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.15-s080_1
  Generated on:           Feb 23 2025  11:29:53 pm
  Module:                 picorv32
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                 
   Gate     Instances    Area        Library    
OR2X4               4     10.944    slow_vdd1v0 
OR2X6              17     63.954    slow_vdd1v0 
OR2X8               1      4.446    slow_vdd1v0 
OR3X1              37     75.924    slow_vdd1v0 
OR3X2               4      9.576    slow_vdd1v0 
OR4X1              96    196.992    slow_vdd1v0 
OR4X2               1      3.420    slow_vdd1v0 
OR4X4               1      3.762    slow_vdd1v0 
SDFFHQX4           35    323.190    slow_vdd1v0 
SDFFHQX8           10    112.860    slow_vdd1v0 
SDFFQX1          1835  13806.540    slow_vdd1v0 
SDFFQX2            70    574.560    slow_vdd1v0 
SEDFFX1            11    131.670    slow_vdd1v0 
XNOR2X1           756   1809.864    slow_vdd1v0 
XOR2X1             23     62.928    slow_vdd1v0 
------------------------------------------------
total           11599  37741.752                


                                          
     Type      Instances    Area   Area % 
------------------------------------------
sequential          1961 14948.820   39.6 
inverter             574   535.914    1.4 
buffer               304  2056.104    5.4 
logic               8760 20200.914   53.5 
physical_cells         0     0.000    0.0 
------------------------------------------
total              11599 37741.752  100.0 

