============================================================
  Generated by:           Genus(TM) Synthesis Solution 22.13-s093_1
  Generated on:           Feb 21 2025  12:23:19 am
  Module:                 picorv32
  Technology libraries:   slow_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                 
   Gate     Instances    Area        Library    
------------------------------------------------
ADDFHX1             2     15.048    slow_vdd1v0 
ADDFHX2             1      8.208    slow_vdd1v0 
ADDFX1            507   2600.910    slow_vdd1v0 
ADDHX1            152    571.824    slow_vdd1v0 
AND2X1            257    351.576    slow_vdd1v0 
AND2X2              6     10.260    slow_vdd1v0 
AND2X4             85    232.560    slow_vdd1v0 
AND2X6             31    116.622    slow_vdd1v0 
AND2X8              1      4.446    slow_vdd1v0 
AND3X1              3      7.182    slow_vdd1v0 
AND3X2              1      2.736    slow_vdd1v0 
AND3X4              6     18.468    slow_vdd1v0 
AND3X6              1      4.446    slow_vdd1v0 
AND3XL             11     22.572    slow_vdd1v0 
AND4X1              7     16.758    slow_vdd1v0 
AND4X4              1      3.762    slow_vdd1v0 
AND4XL             14     33.516    slow_vdd1v0 
AO21X1             62    148.428    slow_vdd1v0 
AO21X4             33    112.860    slow_vdd1v0 
AO22X1            391   1069.776    slow_vdd1v0 
AOI211X1            8     19.152    slow_vdd1v0 
AOI211X2            4     13.680    slow_vdd1v0 
AOI211XL            2      4.104    slow_vdd1v0 
AOI21X1           120    205.200    slow_vdd1v0 
AOI21X2            16     43.776    slow_vdd1v0 
AOI21X4             8     41.040    slow_vdd1v0 
AOI221X1          294    703.836    slow_vdd1v0 
AOI222X1          190    584.820    slow_vdd1v0 
AOI22X1           723   1483.596    slow_vdd1v0 
AOI22X2             1      3.762    slow_vdd1v0 
AOI2BB1X1          37     75.924    slow_vdd1v0 
AOI2BB1X2          15     46.170    slow_vdd1v0 
AOI2BB1X4           3     12.312    slow_vdd1v0 
AOI2BB2X1           2      6.840    slow_vdd1v0 
AOI31X1            26     53.352    slow_vdd1v0 
AOI31X4             1      6.498    slow_vdd1v0 
AOI32X2             1      4.446    slow_vdd1v0 
BUFX12              1      5.130    slow_vdd1v0 
BUFX2              42     71.820    slow_vdd1v0 
BUFX3               1      2.052    slow_vdd1v0 
CLKAND2X12          6     45.144    slow_vdd1v0 
CLKAND2X2          10     20.520    slow_vdd1v0 
CLKAND2X3           1      3.078    slow_vdd1v0 
CLKAND2X6           1      4.788    slow_vdd1v0 
CLKBUFX20         234   1920.672    slow_vdd1v0 
CLKINVX12           4     16.416    slow_vdd1v0 
CLKINVX20           1      6.498    slow_vdd1v0 
CLKINVX4            9     15.390    slow_vdd1v0 
CLKINVX6           13     31.122    slow_vdd1v0 
CLKINVX8            4     12.312    slow_vdd1v0 
CLKMX2X2            1      3.078    slow_vdd1v0 
CLKMX2X3            2      8.208    slow_vdd1v0 
CLKMX2X4            1      4.104    slow_vdd1v0 
CLKXOR2X1         105    287.280    slow_vdd1v0 
DFFHQX1           630   3447.360    slow_vdd1v0 
DFFHQX4             1      8.208    slow_vdd1v0 
DFFHQX8             4     36.936    slow_vdd1v0 
DFFQX2             24    155.952    slow_vdd1v0 
DFFQX4              1      7.182    slow_vdd1v0 
DFFQXL             14     76.608    slow_vdd1v0 
DFFRX1             18    123.120    slow_vdd1v0 
DFFTRX2             1      8.208    slow_vdd1v0 
DFFTRXL             1      7.866    slow_vdd1v0 
DFFX1              29    208.278    slow_vdd1v0 
DFFX2              28    229.824    slow_vdd1v0 
DFFX4               3     27.702    slow_vdd1v0 
EDFFHQX1         1157   9892.350    slow_vdd1v0 
EDFFHQX2           28    248.976    slow_vdd1v0 
EDFFHQX4            5     53.010    slow_vdd1v0 
EDFFX2              6     55.404    slow_vdd1v0 
INVX1             297    203.148    slow_vdd1v0 
INVX2              38     38.988    slow_vdd1v0 
INVX3              11     15.048    slow_vdd1v0 
